State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Uttar Pradesh,Tier 3 city / small town,Beauty / Cosmetics,6–10 stores,Less than 500,POS or billing software,Supplier recommendations,Almost never,Rarely,20–30%,4–10 suppliers,1–2 days,Beauty / cosmetics,Promotions / discounts,Increases significantly,Rarely,Shampoo + conditioner,1–3 years,Head office / franchise owner,Very comfortable,Automatic reorder suggestions,More than ₹50 lakh,₹3000–₹7000,Better supplier management,Definitely not
Uttar Pradesh,Tier 2 city,Beauty / Cosmetics,2–5 stores,More than 10000,Excel / spreadsheets,Supplier recommendations,Monthly,Occasionally,Less than 5%,4–10 suppliers,1–2 days,Beauty / cosmetics,Social media trends,Slight increase,Rarely,Shampoo + conditioner,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹10–50 lakh,Less than ₹1000,Lower inventory cost,Maybe
Uttar Pradesh,Tier 1 city,Grocery / Supermarket,2–5 stores,2000–5000,POS or billing software,Sales reports / historical data,Weekly,Occasionally,10–20%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Snacks + beverages,1–3 years,Store owner,Very comfortable,Demand forecasting,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
West Bengal,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,ERP or inventory management software,Sales reports / historical data,Monthly,Rarely,Less than 5%,1–3 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Yes frequently,Other,1–3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Likely
Tamil Nadu,Tier 1 city,Grocery / Supermarket,2–5 stores,Less than 500,Combination of multiple tools,Combination of methods,Rarely,Occasionally,5–10%,1–3 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,Increases significantly,Yes frequently,Snacks + beverages,1–3 years,Store owner,Very comfortable,Promotion demand prediction,₹10–50 lakh,Less than ₹1000,Automated purchasing,Definitely not
Other,Tier 2 city,Pharmacy / Medical Store,1 store,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Rarely,Less than 5%,10–20 suppliers,3–5 days,Medicines / healthcare products,Seasonal weather,Slight increase,Yes frequently,Medicines + health supplements,More than 3 years,Operations manager,Very comfortable,Supplier performance insights,Less than ₹1 lakh,₹3000–₹7000,Increased revenue,Likely
Gujarat,Tier 2 city,Apparel / Fashion,1 store,Less than 500,Combination of multiple tools,Combination of methods,Weekly,Rarely,Less than 5%,4–10 suppliers,1–2 days,Apparel / clothing,Social media trends,No change,Sometimes,Other,No digital data,Head office / franchise owner,Somewhat comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Increased revenue,Likely
Gujarat,Tier 3 city / small town,Pharmacy / Medical Store,2–5 stores,Less than 500,Combination of multiple tools,Past experience / intuition,Daily,Occasionally,More than 30%,10–20 suppliers,1 week,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Sometimes,Other,Less than 1 year,Head office / franchise owner,Not comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Likely
Maharashtra,Tier 1 city,Electronics,1 store,Less than 500,POS or billing software,Combination of methods,Weekly,Occasionally,10–20%,More than 20 suppliers,3–5 days,Electronics,Festivals,Increases significantly,Yes frequently,Other,No digital data,Operations manager,Somewhat comfortable,Demand forecasting,₹1–5 lakh,More than ₹15000,Automated purchasing,Very likely
Rajasthan,Tier 3 city / small town,Apparel / Fashion,1 store,5000–10000,Excel / spreadsheets,Supplier recommendations,Monthly,Rarely,More than 30%,1–3 suppliers,Highly variable,Apparel / clothing,Festivals,Slight increase,Sometimes,Saree + blouse,No digital data,Store owner,Neutral,Automatic reorder suggestions,More than ₹50 lakh,₹3000–₹7000,Increased revenue,Very likely
